horizon_days,training_mode,model_name,feature_set,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
1,separate,random_forest,price_only,test,TSLA,128,14,0.6171875,0.6252763448784082,0.5950413223140496,0.6111520510930974
1,separate,random_forest,price_plus_alt,test,TSLA,128,32,0.5859375,0.5876934414148858,0.5954198473282443,0.5661999508720216
1,separate,logreg,alt_only,train,AAPL,623,18,0.5617977528089888,0.5623542274052478,0.583206106870229,0.5708663057059559
1,separate,logreg,price_only,train,AAPL,623,14,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
1,separate,logreg,price_plus_alt,train,AAPL,623,32,0.5666131621187801,0.5680393586005832,0.5846153846153846,0.6170553935860058
1,separate,random_forest,alt_only,train,AAPL,623,18,0.9069020866773676,0.9062682215743441,0.9152046783625731,0.9742503123698459
1,separate,random_forest,price_only,train,AAPL,623,14,0.8812199036918138,0.877368804664723,0.8945868945868946,0.9300291545189504
1,separate,random_forest,price_plus_alt,train,AAPL,623,32,0.9614767255216693,0.9600947521865889,0.9653179190751445,0.9907642648896294
1,separate,logreg,alt_only,train,ALL,1246,18,0.5706260032102729,0.5714636898107895,0.5810493343774471,0.589344491367532
1,separate,logreg,price_only,train,ALL,1246,14,0.5425361155698234,0.5446838901999751,0.544,0.5828313253012047
1,separate,logreg,price_plus_alt,train,ALL,1246,32,0.5850722311396469,0.5857605680453775,0.5964090554254489,0.6329622614168013
1,separate,random_forest,alt_only,train,ALL,1246,18,0.8932584269662921,0.8935898232103672,0.8987052551408987,0.9615291061151824
1,separate,random_forest,price_only,train,ALL,1246,14,0.8378812199036918,0.8376004016064258,0.8469696969696969,0.9041992713120524
1,separate,random_forest,price_plus_alt,train,ALL,1246,32,0.9101123595505618,0.9096152651844491,0.9157894736842105,0.9676567093114727
1,separate,logreg,alt_only,train,TSLA,623,18,0.579454253611557,0.5800427059478863,0.5787781350482315,0.6057849023127231
1,separate,logreg,price_only,train,TSLA,623,14,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
1,separate,logreg,price_plus_alt,train,TSLA,623,32,0.6035313001605136,0.6037011821501517,0.6085578446909667,0.6455509479895195
1,separate,random_forest,alt_only,train,TSLA,623,18,0.8796147672552167,0.8801396711435704,0.8807631160572337,0.9486806544119165
1,separate,random_forest,price_only,train,TSLA,623,14,0.7945425361155698,0.795527222462916,0.7928802588996764,0.8851993975779332
1,separate,random_forest,price_plus_alt,train,TSLA,623,32,0.8587479935794543,0.8588124858162612,0.8620689655172413,0.9456994904169502
5,pooled,logreg,alt_only,test,AAPL,124,19,0.43548387096774194,0.41306122448979593,0.527027027027027,0.39537414965986395
5,pooled,logreg,price_only,test,AAPL,124,15,0.532258064516129,0.4647619047619047,0.6704545454545454,0.4402721088435374
5,pooled,logreg,price_plus_alt,test,AAPL,124,33,0.43548387096774194,0.41306122448979593,0.527027027027027,0.39972789115646257
5,pooled,random_forest,alt_only,test,AAPL,124,19,0.5241935483870968,0.49700680272108844,0.6143790849673203,0.446530612244898
5,pooled,random_forest,price_only,test,AAPL,124,15,0.49193548387096775,0.44204081632653064,0.6181818181818182,0.41986394557823126
5,pooled,random_forest,price_plus_alt,test,AAPL,124,33,0.4435483870967742,0.3737414965986395,0.6057142857142858,0.30176870748299317
5,pooled,logreg,alt_only,test,ALL,248,19,0.4596774193548387,0.47551020408163264,0.47244094488188976,0.4684353741496599
5,pooled,logreg,price_only,test,ALL,248,15,0.5080645161290323,0.4925170068027211,0.5821917808219178,0.49360544217687075
5,pooled,logreg,price_plus_alt,test,ALL,248,33,0.45564516129032256,0.4597959183673469,0.4943820224719101,0.47074829931972795
5,pooled,random_forest,alt_only,test,ALL,248,19,0.5241935483870968,0.5093877551020408,0.5958904109589042,0.4858503401360544
5,pooled,random_forest,price_only,test,ALL,248,15,0.5241935483870968,0.511156462585034,0.593103448275862,0.5040136054421769
5,pooled,random_forest,price_plus_alt,test,ALL,248,33,0.4879032258064516,0.46170068027210887,0.5808580858085809,0.4484353741496599
5,pooled,logreg,alt_only,test,TSLA,124,19,0.4838709677419355,0.5379591836734694,0.39622641509433965,0.5499319727891157
5,pooled,logreg,price_only,test,TSLA,124,15,0.4838709677419355,0.5202721088435374,0.4482758620689655,0.5648979591836735
5,pooled,logreg,price_plus_alt,test,TSLA,124,33,0.47580645161290325,0.5065306122448979,0.453781512605042,0.5510204081632654
5,pooled,random_forest,alt_only,test,TSLA,124,19,0.5241935483870968,0.5217687074829932,0.5755395683453237,0.5308843537414967
5,pooled,random_forest,price_only,test,TSLA,124,15,0.5564516129032258,0.5802721088435374,0.56,0.5820408163265306
5,pooled,random_forest,price_plus_alt,test,TSLA,124,33,0.532258064516129,0.5496598639455783,0.546875,0.5899319727891156
5,pooled,logreg,alt_only,train,AAPL,623,19,0.5617977528089888,0.5290632649615936,0.6617100371747212,0.544610449902929
