date,gdelt_articles,gdelt_robust,gdelt_sentiment_score
2024-06-25,1.1493,0.4392459686577332,0.475
2024-06-26,1.1499,0.4419713831478533,0.5823
2024-06-27,0.9355,-0.5319100613218258,0.8694
2024-06-28,0.9485,-0.4728594140358843,0.7837
2024-07-01,2.8388999999999998,-0.47176892183139413,0.5612971784846243
2024-07-02,0.9957,-0.2584601408130816,0.333
2024-07-03,0.9772,-0.34249375425846007,0.2935
2024-07-05,1.7290999999999999,-0.8428053895093869,0.4083364929732231
2024-07-08,2.6651,-0.7222956012207931,0.2940064612960114
2024-07-09,1.0392,-0.06086759027935531,0.5876
2024-07-10,1.0531,0.0022711787417667,0.4255
2024-07-11,1.0704,0.0808539632069045,0.5871
2024-07-12,1.0594,0.030888030888030497,0.3517
2024-07-15,2.6706,-0.6585187257607201,0.5927453905489403
2024-07-16,1.1709,0.5373608903020669,1.2694
2024-07-17,1.2199,0.7599364069952304,1.0651
2024-07-18,1.13,0.3515784692255275,0.6616
2024-07-19,1.0395,-0.0595048830342942,0.2193
2024-07-22,2.5273,-0.9175520239268806,0.3936599730938155
2024-07-23,0.9516,-0.4587781058369291,0.7157
2024-07-24,1.0294,-0.1053826936179871,0.4869
2024-07-25,1.0801,0.12491483079718399,0.4409
2024-07-26,0.9551,-0.4428798546445605,0.5647
2024-07-29,2.9189,-0.3323042235404467,0.48568894446538075
2024-07-30,1.0933,0.1848739495798317,0.5786
2024-07-31,0.9752,-0.351578469225528,0.4572
2024-08-01,1.141,0.4015444015444016,0.4179
2024-08-02,1.142,0.406086759027935,0.4244
2024-08-05,3.0206,-0.024086434780063656,-0.1467996490763425
2024-08-06,1.4109,1.6275266863502154,-0.21170000000000003
2024-08-07,0.9144,-0.6277538042243922,0.3817
2024-08-08,1.1018,0.22348398818987,0.3274
2024-08-09,0.9598,-0.4215307744719508,0.3981
2024-08-12,2.865,-0.42355354254337907,0.6955993333333333
2024-08-13,1.3162,1.1973654326595502,0.8523
2024-08-14,1.2061,0.6972518737224616,0.688
2024-08-15,1.1198,0.3052464228934813,0.6935
2024-08-16,1.1887,0.6182148535089714,1.1551
2024-08-19,2.7666,-0.5773196147110187,0.7868046193884191
2024-08-20,1.0485,-0.0186236656824891,0.6103
2024-08-21,0.944,-0.4933000227117874,0.6055
2024-08-22,0.9304,-0.555076084487849,0.3314
2024-08-23,1.135,0.3742902566431978,0.1345
2024-08-26,3.4066,0.5574902302845639,0.28651219397639877
2024-08-27,1.0558,0.014535543947309,0.5565
2024-08-28,1.0795,0.12218941630706291,0.4162
2024-08-29,1.2295,0.8035430388371565,0.46290000000000003
2024-08-30,1.1913,0.6300249829661595,0.49219999999999997
2024-09-03,4.0776,-0.12425787329710042,0.5718180620953502
2024-09-04,1.0236,-0.1317283670224842,0.6251
2024-09-05,0.9485,-0.4728594140358843,0.7047
2024-09-06,1.0427,-0.0449693390869862,0.6202
2024-09-09,5.045999999999999,3.6125215314136057,1.1084370511296078
2024-09-10,2.0093,4.345673404496933,0.7233
2024-09-11,1.3231,1.228707699295934,0.3107
2024-09-12,1.1195,0.3038837156484212,0.8662
2024-09-13,1.2802,1.0338405632523278,0.9980000000000001
2024-09-16,3.6059,0.6895372100599477,1.253545966332954
2024-09-17,1.1402,0.3979105155575748,0.74
2024-09-18,1.1141,0.2793549852373386,0.6529
2024-09-19,1.3039,1.1414944356120826,0.7176
2024-09-20,1.2629,0.95525777878719,1.0481
2024-09-23,3.344,0.30031277608676965,0.5534761872009568
2024-09-24,1.1056,0.24074494662729923,0.3857
2024-09-25,1.1118,0.2689075630252096,0.4832
2024-09-26,1.1525,0.45378151260504224,0.5438
2024-09-27,1.0674,0.0672268907563021,0.7684
2024-09-30,3.0074,-0.2038682356251956,0.6462258462459267
2024-10-01,1.3126,1.1810129457188276,-0.0934
2024-10-02,1.0621,0.0431523960935728,0.4393
2024-10-03,1.0288,-0.1081081081081082,0.7892
2024-10-04,0.9728,-0.3624801271860093,0.7744
2024-10-07,2.9197,-0.34207710571317607,0.7797312566359559
2024-10-08,1.3132,1.1837383602089475,0.8883
2024-10-09,1.1969,0.6554621848739498,0.7281
2024-10-10,1.0329,-0.089484442425619,0.602
2024-10-11,1.0292,-0.1062911651146948,0.6384
2024-10-14,2.9651,-0.28372977904290175,0.565551168594651
2024-10-15,1.2279,0.7962752668635019,1.16
2024-10-16,1.0855,0.1494435612082667,0.7563
2024-10-17,1.1017,0.2230297524415167,0.8758
2024-10-18,1.0791,0.1203724733136496,0.8812
2024-10-21,3.0199,-0.19427441397004064,0.6646228087022751
2024-10-22,1.1066,0.24528730411083358,0.7249
2024-10-23,1.1992,0.6659096070860777,0.6058
2024-10-24,1.2631,0.9561662502838968,0.6416
2024-10-25,1.1971,0.6563706563706565,0.6587
2024-10-28,3.2628000000000004,0.2822969928307101,0.7210749816108862
2024-10-29,1.2153,0.7390415625709744,0.9173
2024-10-30,1.1095,0.2584601408130816,0.9171
2024-10-31,1.0882,0.161707926413809,1.2172
2024-11-01,1.2168,0.7458550987962757,0.6417
2024-11-04,3.3828,0.37195787397152075,0.8064061251034645
2024-11-05,1.0287,-0.1085623438564616,0.8105
2024-11-06,0.9382,-0.519645696116284,0.7162
2024-11-07,1.0116,-0.1862366568248917,1.0426
2024-11-08,1.1131,0.2748126277538041,1.1087
2024-11-11,2.8218,-0.5059314724734792,0.9942803884045643
2024-11-12,1.17,0.5332727685668858,1.0235
2024-11-13,1.0576458333333334,0.0229199788023318,0.6671
2024-11-14,1.1263458333333334,0.3349799379211145,0.5177
2024-11-15,0.9843541666666668,-0.3099969717616774,0.8556
2024-11-18,2.749323007246377,-0.4896834097052422,0.637764262677841
2024-11-19,1.1318333333333337,0.3599061246120069,0.5836
2024-11-20,1.5402,2.214853508971156,0.438
2024-11-21,1.2777666666666667,1.0227874933757284,0.6204
2024-11-22,1.2701541666666667,0.9882087970323259,1.2874
2024-11-25,3.1929078886693016,0.14219357732613475,0.8147296004927793
2024-11-26,1.3541708333333335,1.369842531607237,0.9675
2024-11-27,1.115425,0.2853736089030207,1.0139
2024-11-29,2.6315,1.2125532360111164,1.3109975907277218
2024-12-02,2.9598,-0.273504401788109,1.3288654469896615
2024-12-03,1.134,0.3697478991596634,0.8487
2024-12-04,1.1507,0.4456052691346811,0.9865000000000002
2024-12-05,1.2956,1.103792868498751,0.6565
2024-12-06,1.0574,0.0218033159209625,0.5548
2024-12-09,2.7621,-0.5613020957739485,0.5728258788602875
2024-12-10,1.0347,-0.0813081989552578,0.9329
2024-12-11,1.0326,-0.0908471496706791,1.0
2024-12-12,1.2479,0.8871224165341811,0.5427
2024-12-13,1.1557,0.4683170565523504,0.7839
2024-12-16,3.1316,-0.004684360548305101,0.6948100523693959
2024-12-17,1.0366,-0.0726777197365433,0.7977
2024-12-18,1.0123,-0.1830570065864183,0.7542
2024-12-19,1.0822,0.1344537815126053,0.6957
2024-12-20,1.1036,0.23166023166023117,0.897
2024-12-23,2.9915,-0.2272680308644953,0.9281504596356343
2024-12-24,1.1104,0.2625482625482628,1.3932
2024-12-26,2.3026999999999997,0.4521441176978538,1.1786851000998828
2024-12-27,0.9575,-0.4319781966840787,0.7675
