ticker,model_name,feature_set_alt,auc_a,auc_b,auc_diff,auc_diff_se,z_stat,p_value
AAPL,hist_gradient_boosting,price_plus_selected_alt,0.5527093596059116,0.5248768472906404,0.027832512315271174,0.04514199655110617,0.6165547481658553,0.5375284500060815
AAPL,logreg,price_plus_selected_alt,0.4970443349753695,0.4810344827586208,0.016009852216748666,0.03822583383338492,0.41882283815000265,0.6753456126819568
AAPL,mlp_small,price_plus_selected_alt,0.5448275862068965,0.4758620689655173,0.06896551724137923,0.07238614065804377,0.9527447742679946,0.34071940158899805
AAPL,random_forest,price_plus_selected_alt,0.5381773399014778,0.5073891625615765,0.030788177339901246,0.04846866820226721,0.6352181415717355,0.5252861528963497
AAPL,svm_rbf,price_plus_selected_alt,0.4750000000000001,0.460344827586207,0.014655172413793105,0.05124842163033121,0.28596339062898063,0.7749061612196313
TSLA,hist_gradient_boosting,price_plus_selected_alt,0.5698845492507982,0.5212478506509457,0.048636698599852535,0.044444832787576424,1.0943161566679998,0.2738163416868087
TSLA,logreg,price_plus_selected_alt,0.6187668877425694,0.5743060673053306,0.04446082043723876,0.03022155928370889,1.4711623586280547,0.1412472141481722
TSLA,mlp_small,price_plus_selected_alt,0.6502087939081307,0.5426185212478507,0.10759027266027998,0.05255755823941866,2.047094200422467,0.04064883631073135
TSLA,random_forest,price_plus_selected_alt,0.6111520510930974,0.5951854581183984,0.015966592974699045,0.02901327695830558,0.5503202205543458,0.5820997575778144
TSLA,svm_rbf,price_plus_selected_alt,0.6072218128224023,0.5691476295750428,0.03807418324735945,0.04457354098951233,0.8541879869117397,0.3930008382865666
