ticker,model_name,feature_set,split,n_rows,n_features,train_rows_per_feature,decision_threshold,threshold_tuned,validation_rows,validation_balanced_accuracy,accuracy,balanced_accuracy,f1,roc_auc
AAPL,hist_gradient_boosting,price_only,test,128,14,44.5,0.5,False,0,,0.546875,0.5339901477832512,0.618421052631579,0.5527093596059113
AAPL,hist_gradient_boosting,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.515625,0.4980295566502463,0.6075949367088608,0.5248768472906404
AAPL,logreg,price_only,test,128,14,44.5,0.5,False,0,,0.5078125,0.5115763546798029,0.5116279069767442,0.4970443349753695
AAPL,logreg,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.484375,0.4857142857142857,0.5,0.48103448275862065
AAPL,mlp_small,price_only,test,128,14,44.5,0.55,True,125,0.5973360655737705,0.5234375,0.5214285714285714,0.5547445255474452,0.5448275862068965
AAPL,mlp_small,price_plus_selected_alt,test,128,18,34.611111111111114,0.63,True,125,0.5213883196721312,0.4921875,0.5076354679802956,0.4247787610619469,0.47586206896551725
AAPL,random_forest,price_only,test,128,14,44.5,0.5,False,0,,0.5078125,0.5056650246305419,0.5401459854014599,0.5381773399014778
AAPL,random_forest,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.4921875,0.48694581280788174,0.5390070921985816,0.5073891625615763
AAPL,svm_rbf,price_only,test,128,14,44.5,0.52,True,125,0.5121670081967213,0.5,0.4719211822660099,0.627906976744186,0.475
AAPL,svm_rbf,price_plus_selected_alt,test,128,18,34.611111111111114,0.48,True,125,0.5078125,0.546875,0.5,0.7070707070707071,0.4603448275862069
AAPL,hist_gradient_boosting,price_only,train,623,14,44.5,0.5,False,0,,0.8828250401284109,0.8745626822157434,0.8998628257887518,0.9634943773427738
AAPL,hist_gradient_boosting,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.9181380417335474,0.912536443148688,0.9286713286713286,0.9842149104539775
AAPL,logreg,price_only,train,623,14,44.5,0.5,False,0,,0.5345104333868379,0.5352769679300291,0.5552147239263804,0.5739691795085381
AAPL,logreg,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.5601926163723917,0.5625364431486881,0.5745341614906833,0.6035922532278217
AAPL,mlp_small,price_only,train,623,14,44.5,0.55,True,125,0.5973360655737705,0.565008025682183,0.557069970845481,0.6166902404526167,0.6099125364431488
AAPL,mlp_small,price_plus_selected_alt,train,623,18,34.611111111111114,0.63,True,125,0.5213883196721312,0.492776886035313,0.5229591836734694,0.3276595744680851,0.5044981257809246
AAPL,random_forest,price_only,train,623,14,44.5,0.5,False,0,,0.8812199036918138,0.877368804664723,0.8945868945868946,0.9300291545189504
AAPL,random_forest,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.8780096308186196,0.8764212827988338,0.8895348837209303,0.9489171178675553
AAPL,svm_rbf,price_only,train,623,14,44.5,0.52,True,125,0.5121670081967213,0.4028892455858748,0.37507288629737606,0.5452322738386308,0.2670658059142024
AAPL,svm_rbf,price_plus_selected_alt,train,623,18,34.611111111111114,0.48,True,125,0.5078125,0.550561797752809,0.5,0.7101449275362319,0.21048521449396085
TSLA,hist_gradient_boosting,price_only,test,128,14,44.5,0.5,False,0,,0.578125,0.5816752640628838,0.578125,0.5698845492507983
TSLA,hist_gradient_boosting,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.484375,0.47998034880864654,0.5285714285714286,0.5212478506509457
TSLA,logreg,price_only,test,128,14,44.5,0.5,False,0,,0.6015625,0.6095553917956276,0.5785123966942148,0.6187668877425694
TSLA,logreg,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.5703125,0.5732006877916974,0.5736434108527132,0.5743060673053303
TSLA,mlp_small,price_only,test,128,14,44.5,0.49,True,125,0.5503095975232198,0.640625,0.6347334807172684,0.6805555555555556,0.6502087939081307
TSLA,mlp_small,price_plus_selected_alt,test,128,18,34.611111111111114,0.68,True,125,0.5586945304437565,0.4765625,0.5132645541635962,0.0821917808219178,0.5426185212478506
TSLA,random_forest,price_only,test,128,14,44.5,0.5,False,0,,0.6171875,0.6252763448784082,0.5950413223140496,0.6111520510930974
TSLA,random_forest,price_plus_selected_alt,test,128,18,34.611111111111114,0.5,False,0,,0.5703125,0.5707442888725129,0.5864661654135338,0.5951854581183984
TSLA,svm_rbf,price_only,test,128,14,44.5,0.51,True,125,0.5254127966976264,0.609375,0.6045197740112994,0.647887323943662,0.6072218128224024
TSLA,svm_rbf,price_plus_selected_alt,test,128,18,34.611111111111114,0.3,True,125,0.5,0.5390625,0.5,0.700507614213198,0.5691476295750428
TSLA,hist_gradient_boosting,price_only,train,623,14,44.5,0.5,False,0,,0.9069020866773676,0.9066194219223866,0.9102167182662538,0.9614202306533803
TSLA,hist_gradient_boosting,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.9197431781701445,0.9193744713333746,0.9228395061728395,0.9810402096098698
TSLA,logreg,price_only,train,623,14,44.5,0.5,False,0,,0.550561797752809,0.5522993129912731,0.5317725752508361,0.586856058261641
TSLA,logreg,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.5778491171749599,0.579367044212003,0.5638474295190713,0.6013698912751955
TSLA,mlp_small,price_only,train,623,14,44.5,0.49,True,125,0.5503095975232198,0.637239165329053,0.6343535309772854,0.6743515850144092,0.6733510759010541
TSLA,mlp_small,price_plus_selected_alt,train,623,18,34.611111111111114,0.68,True,125,0.5586945304437565,0.5120385232744783,0.5256957768562646,0.14124293785310735,0.5834622764127003
TSLA,random_forest,price_only,train,623,14,44.5,0.5,False,0,,0.7945425361155698,0.795527222462916,0.7928802588996764,0.8851993975779332
TSLA,random_forest,price_plus_selected_alt,train,623,18,34.611111111111114,0.5,False,0,,0.8105939004815409,0.8110055497101359,0.8126984126984127,0.9024984011058158
TSLA,svm_rbf,price_only,train,623,14,44.5,0.51,True,125,0.5254127966976264,0.6548956661316212,0.6521734645458108,0.6888567293777135,0.7361721441686782
TSLA,svm_rbf,price_plus_selected_alt,train,623,18,34.611111111111114,0.3,True,125,0.5,0.5152487961476726,0.5,0.6800847457627118,0.8118462585876091
