ticker,fold,model_name,feature_set_alt,balanced_accuracy_alt,balanced_accuracy_price,delta_balanced_accuracy,roc_auc_alt,roc_auc_price,delta_roc_auc
AAPL,1,hist_gradient_boosting,price_plus_selected_alt,0.6346153846153846,0.532051282051282,0.10256410256410253,0.6057692307692307,0.5373931623931624,0.06837606837606836
AAPL,1,logreg,price_plus_selected_alt,0.46474358974358976,0.5064102564102564,-0.04166666666666663,0.49786324786324787,0.5288461538461539,-0.030982905982905984
AAPL,1,mlp_small,price_plus_selected_alt,0.5,0.516025641025641,-0.01602564102564097,0.4294871794871795,0.5673076923076923,-0.13782051282051277
AAPL,1,random_forest,price_plus_selected_alt,0.5400641025641025,0.5817307692307692,-0.04166666666666663,0.5726495726495726,0.5641025641025641,0.008547008547008517
AAPL,1,svm_rbf,price_plus_selected_alt,0.5,0.5368589743589743,-0.03685897435897434,0.4893162393162393,0.5181623931623931,-0.0288461538461538
AAPL,2,hist_gradient_boosting,price_plus_selected_alt,0.4364130434782609,0.4146739130434783,0.021739130434782594,0.4815217391304348,0.4271739130434783,0.054347826086956486
AAPL,2,logreg,price_plus_selected_alt,0.5076086956521739,0.4608695652173913,0.046739130434782616,0.4706521739130435,0.4326086956521739,0.03804347826086957
AAPL,2,mlp_small,price_plus_selected_alt,0.5407608695652174,0.5114130434782609,0.02934782608695652,0.5108695652173912,0.49130434782608695,0.01956521739130429
AAPL,2,random_forest,price_plus_selected_alt,0.5141304347826088,0.4581521739130435,0.055978260869565255,0.48695652173913045,0.45543478260869563,0.03152173913043482
AAPL,2,svm_rbf,price_plus_selected_alt,0.5201086956521739,0.5929347826086957,-0.07282608695652182,0.5793478260869566,0.5934782608695652,-0.01413043478260867
AAPL,3,hist_gradient_boosting,price_plus_selected_alt,0.47857142857142854,0.5428571428571428,-0.06428571428571428,0.5346938775510204,0.5428571428571428,-0.008163265306122436
AAPL,3,logreg,price_plus_selected_alt,0.46785714285714286,0.4464285714285714,0.021428571428571463,0.5183673469387755,0.45306122448979586,0.06530612244897965
AAPL,3,mlp_small,price_plus_selected_alt,0.45357142857142857,0.5642857142857143,-0.11071428571428571,0.3979591836734694,0.5091836734693878,-0.11122448979591837
AAPL,3,random_forest,price_plus_selected_alt,0.4785714285714286,0.5071428571428571,-0.028571428571428525,0.5163265306122449,0.503061224489796,0.013265306122448917
AAPL,3,svm_rbf,price_plus_selected_alt,0.4857142857142857,0.5035714285714286,-0.01785714285714285,0.46836734693877546,0.5816326530612245,-0.113265306122449
AAPL,4,hist_gradient_boosting,price_plus_selected_alt,0.5081135902636917,0.4934077079107505,0.014705882352941235,0.5050709939148073,0.5101419878296146,-0.005070993914807365
AAPL,4,logreg,price_plus_selected_alt,0.552738336713996,0.5796146044624747,-0.026876267748478733,0.6217038539553752,0.6014198782961461,0.020283975659229125
AAPL,4,mlp_small,price_plus_selected_alt,0.42748478701825554,0.5299188640973631,-0.10243407707910757,0.46855983772819465,0.5517241379310345,-0.08316430020283982
AAPL,4,random_forest,price_plus_selected_alt,0.48884381338742394,0.48630831643002026,0.0025354969574036823,0.5324543610547667,0.48884381338742394,0.04361054766734279
AAPL,4,svm_rbf,price_plus_selected_alt,0.4751521298174442,0.4751521298174442,0.0,0.3874239350912779,0.398580121703854,-0.011156186612576058
TSLA,1,hist_gradient_boosting,price_plus_selected_alt,0.4548913043478261,0.4483695652173913,0.0065217391304348005,0.44130434782608696,0.44456521739130433,-0.0032608695652173725
TSLA,1,logreg,price_plus_selected_alt,0.4298913043478261,0.46413043478260874,-0.03423913043478266,0.5152173913043478,0.5130434782608696,0.0021739130434782483
TSLA,1,mlp_small,price_plus_selected_alt,0.5619565217391305,0.5244565217391304,0.03750000000000009,0.5706521739130435,0.47717391304347834,0.09347826086956512
TSLA,1,random_forest,price_plus_selected_alt,0.4364130434782609,0.4983695652173913,-0.06195652173913041,0.5206521739130434,0.5021739130434782,0.018478260869565166
TSLA,1,svm_rbf,price_plus_selected_alt,0.5,0.5,0.0,0.4326086956521739,0.542391304347826,-0.1097826086956521
TSLA,2,hist_gradient_boosting,price_plus_selected_alt,0.4092741935483871,0.4420362903225806,-0.032762096774193505,0.41330645161290325,0.40120967741935487,0.012096774193548376
