training_mode,model_name,feature_set,split,ticker,n_rows,n_features,accuracy,balanced_accuracy,f1,roc_auc
pooled,logreg,alt_only,test,AAPL,128,19,0.515625,0.506896551724138,0.5753424657534246,0.5091133004926108
pooled,logreg,price_only,test,AAPL,128,15,0.5078125,0.4894088669950739,0.6037735849056604,0.47216748768472905
pooled,logreg,price_plus_alt,test,AAPL,128,33,0.484375,0.4812807881773399,0.5217391304347826,0.4827586206896552
pooled,random_forest,alt_only,test,AAPL,128,19,0.5078125,0.4997536945812808,0.5655172413793104,0.5211822660098523
pooled,random_forest,price_only,test,AAPL,128,15,0.5390625,0.5312807881773399,0.593103448275862,0.5615763546798029
pooled,random_forest,price_plus_alt,test,AAPL,128,33,0.5625,0.5527093596059114,0.6216216216216216,0.5524630541871921
pooled,logreg,alt_only,test,ALL,256,19,0.46484375,0.46864047223759453,0.4627450980392157,0.4692861095738794
pooled,logreg,price_only,test,ALL,256,15,0.546875,0.5468855684683023,0.5671641791044776,0.5420894053987579
pooled,logreg,price_plus_alt,test,ALL,256,33,0.4765625,0.4821373670294534,0.464,0.4909303326569514
pooled,random_forest,alt_only,test,ALL,256,19,0.515625,0.5133739162516141,0.5474452554744526,0.516571358297977
pooled,random_forest,price_only,test,ALL,256,15,0.54296875,0.543288446166144,0.5617977528089888,0.5616429932976695
pooled,random_forest,price_plus_alt,test,ALL,256,33,0.578125,0.5743097829428765,0.6142857142857143,0.5471315255487917
pooled,logreg,alt_only,test,TSLA,128,19,0.4140625,0.4282731515598133,0.3119266055045872,0.4153770572340948
pooled,logreg,price_only,test,TSLA,128,15,0.5859375,0.6012036354704005,0.5137614678899083,0.6111520510930974
pooled,logreg,price_plus_alt,test,TSLA,128,33,0.46875,0.48145418816015717,0.39285714285714285,0.48833210513387376
pooled,random_forest,alt_only,test,TSLA,128,19,0.5234375,0.5260378285433555,0.5271317829457365,0.50159665929747
pooled,random_forest,price_only,test,TSLA,128,15,0.546875,0.5539179562760992,0.5245901639344263,0.5647261115205109
pooled,random_forest,price_plus_alt,test,TSLA,128,33,0.59375,0.59493981822648,0.6060606060606061,0.5445836403831983
pooled,logreg,alt_only,train,AAPL,623,19,0.5553772070626003,0.5391399416909621,0.6340819022457067,0.5354435651811745
pooled,logreg,price_only,train,AAPL,623,15,0.5425361155698234,0.5261661807580175,0.6235138705416117,0.554487713452728
pooled,logreg,price_plus_alt,train,AAPL,623,33,0.5457463884430177,0.5333454810495627,0.6139154160982264,0.5631299458558934
pooled,random_forest,alt_only,train,AAPL,623,19,0.8459069020866774,0.843002915451895,0.861671469740634,0.9214181591003748
