date,gdelt_articles,gdelt_robust,gdelt_sentiment_score
2023-04-15,0.9877,-0.2947990006813533,0.0088
2023-04-16,1.0691,0.07494889847831,0.0844
2023-04-17,1.1886,0.6177606177606181,0.6197
2023-04-18,1.2122,0.7249602543720187,0.5219
2023-04-19,1.0828,0.1371791960027254,0.5328
2023-04-20,1.1557,0.4683170565523504,0.4208
2023-04-21,1.0329,-0.089484442425619,0.3718
2023-04-22,0.9443,-0.4919373154667268,-0.1239
2023-04-23,0.9035,-0.6772655007949124,0.3029
2023-04-24,1.0144,-0.173518055870997,0.3431
2023-04-25,1.1198,0.3052464228934813,0.3305
2023-04-26,1.084,0.1426300249829665,0.2866
2023-04-27,0.9842,-0.3106972518737224,0.3307
2023-04-28,1.2252,0.7840109016579606,0.7098
2023-04-29,0.9625,-0.4092664092664089,0.2154
2023-04-30,0.8166,-1.0719963661140128,0.4023
2023-05-01,1.1266,0.3361344537815128,0.4845
2023-05-02,1.1136,0.2770838064955708,0.2052
2023-05-03,1.0032,-0.2243924596865767,0.5435
2023-05-04,1.1821,0.5882352941176466,0.4662
2023-05-05,1.4088,1.6179877356347945,-0.0008
2023-05-06,1.0663,0.0622302975244153,0.7308
2023-05-07,1.0218,-0.1399046104928454,0.4295
2023-05-08,1.2654,0.9666136724960256,0.1903
2023-05-09,1.1158,0.2870769929593454,0.1899
2023-05-10,1.0615,0.0404269816034527,0.3275
2023-05-11,1.0916,0.1771519418578238,0.2959
2023-05-12,0.9929,-0.2711787417669768,0.4049
2023-05-13,0.9064,-0.6640926640926639,0.6259
2023-05-14,0.9563,-0.4374290256643194,0.5511
2023-05-15,0.8894,-0.7413127413127412,0.6045
2023-05-16,0.9912,-0.2789007494889847,0.1586
2023-05-17,0.9817,-0.3220531455825571,0.0554
2023-05-18,1.1945,0.6445605269134675,-0.0617
2023-05-19,1.2826,1.044742221212809,0.1738
2023-05-20,0.8558,-0.8939359527594818,0.0685
2023-05-21,0.8998,-0.6940722234839877,0.1803
2023-05-22,1.056,0.0154440154440157,0.1029
2023-05-23,1.1528,0.4551442198501023,0.4239
2023-05-24,0.9958,-0.2580059050647283,0.5868
2023-05-25,1.0291,-0.1067454008630482,0.4536
2023-05-26,0.908,-0.6568248921190093,0.6979
2023-05-27,0.9249,-0.5800590506472855,0.786
2023-05-28,0.7252,-1.4871678401090165,0.5847
2023-05-29,0.7853,-1.2141721553486255,0.5439
2023-05-30,1.0055,-0.2139450374744488,0.1339
2023-05-31,1.1582,0.479672950261185,0.4754
2023-06-01,1.148,0.4333409039291387,0.5728
2023-06-02,1.2368,0.8367022484669537,0.5037
2023-06-03,0.9684,-0.3824665001135585,0.4031
2023-06-04,0.9728,-0.3624801271860093,0.319
2023-06-05,1.9108,3.898251192368839,0.7259
2023-06-06,1.8119,3.4490120372473307,0.6582
2023-06-07,1.4645,1.8709970474676347,0.5018
2023-06-08,1.1793,0.575516693163752,0.294
2023-06-09,1.1429,0.4101748807631161,0.4822
2023-06-10,0.8689,-0.834431069725187,0.4561
2023-06-11,0.7032,-1.5870997047467628,0.6085
2023-06-12,0.9794,-0.332500567794685,0.5
2023-06-13,1.0177,-0.1585282761753346,0.0356
2023-06-14,0.9521,-0.4565069270951624,0.5029
2023-06-15,0.8329,-0.9979559391324094,0.6927
2023-06-16,0.9766,-0.3452191687485802,0.6429
2023-06-17,0.8193,-1.059732000908471,0.5653
2023-06-18,0.8313,-1.0052237111060636,0.6416
2023-06-19,0.9377,-0.5219168748580512,0.171
2023-06-20,0.9327,-0.5446286622757209,0.384
2023-06-21,0.9817,-0.3220531455825571,0.6351
2023-06-22,0.9083,-0.6554621848739492,0.5492
2023-06-23,1.1127,0.2729956847603907,0.7815
2023-06-24,0.8508,-0.9166477401771516,0.5334
2023-06-25,0.8097,-1.1033386327503971,0.491
2023-06-26,0.9949,-0.2620940267999089,0.5949
2023-06-27,0.8885,-0.7454008630479217,0.2409
2023-06-28,1.0139,-0.1757892346127637,0.525
2023-06-29,0.9946,-0.263456734044969,0.6132
2023-06-30,1.3008,1.127413127413127,0.4175
2023-07-01,1.3242,1.233704292527822,-1.197
2023-07-02,0.9073,-0.6600045423574833,0.4535
2023-07-03,0.9365,-0.5273677038382918,0.4401
2023-07-04,1.0795,0.1221894163070629,0.4995
2023-07-05,0.9895,-0.2866227572109921,0.2255
2023-07-06,1.4161,1.6511469452645915,-0.0788
2023-07-07,1.0979,0.2057687940040886,0.5419
2023-07-08,0.8201,-1.0560981149216435,0.1747
2023-07-09,0.7217,-1.503066091301385,0.4814
2023-07-10,1.0764,0.1081081081081082,0.3016
2023-07-11,1.148,0.4333409039291387,0.9121
