ticker,fold,model_name,feature_set_alt,balanced_accuracy_alt,balanced_accuracy_price,delta_balanced_accuracy,roc_auc_alt,roc_auc_price,delta_roc_auc
AAPL,1,hist_gradient_boosting,price_plus_alt_current,0.5448717948717949,0.532051282051282,0.012820512820512886,0.5801282051282052,0.5373931623931624,0.042735042735042805
AAPL,1,hist_gradient_boosting,price_plus_alt_stationary,0.3942307692307692,0.532051282051282,-0.13782051282051283,0.4807692307692308,0.5373931623931624,-0.05662393162393159
AAPL,1,logreg,price_plus_alt_current,0.5112179487179487,0.5064102564102564,0.004807692307692291,0.5213675213675214,0.5288461538461539,-0.007478632478632452
AAPL,1,logreg,price_plus_alt_stationary,0.4358974358974359,0.5064102564102564,-0.07051282051282048,0.4551282051282052,0.5288461538461539,-0.07371794871794868
AAPL,1,random_forest,price_plus_alt_current,0.4903846153846154,0.5817307692307692,-0.09134615384615374,0.5096153846153846,0.5641025641025641,-0.054487179487179516
AAPL,1,random_forest,price_plus_alt_stationary,0.4118589743589744,0.5817307692307692,-0.16987179487179477,0.46047008547008544,0.5641025641025641,-0.10363247863247865
AAPL,2,hist_gradient_boosting,price_plus_alt_current,0.4706521739130435,0.4146739130434783,0.0559782608695652,0.4793478260869566,0.4271739130434783,0.05217391304347829
AAPL,2,hist_gradient_boosting,price_plus_alt_stationary,0.408695652173913,0.4146739130434783,-0.005978260869565266,0.44999999999999996,0.4271739130434783,0.022826086956521663
AAPL,2,logreg,price_plus_alt_current,0.4548913043478261,0.4608695652173913,-0.005978260869565211,0.4141304347826087,0.4326086956521739,-0.018478260869565222
AAPL,2,logreg,price_plus_alt_stationary,0.5168478260869566,0.4608695652173913,0.055978260869565255,0.47173913043478266,0.4326086956521739,0.03913043478260875
AAPL,2,random_forest,price_plus_alt_current,0.4173913043478261,0.4581521739130435,-0.040760869565217406,0.4206521739130435,0.45543478260869563,-0.03478260869565214
AAPL,2,random_forest,price_plus_alt_stationary,0.5331521739130435,0.4581521739130435,0.07499999999999996,0.47173913043478266,0.45543478260869563,0.01630434782608703
AAPL,3,hist_gradient_boosting,price_plus_alt_current,0.5607142857142857,0.5428571428571428,0.017857142857142905,0.4418367346938775,0.5428571428571428,-0.1010204081632653
AAPL,3,hist_gradient_boosting,price_plus_alt_stationary,0.5857142857142856,0.5428571428571428,0.042857142857142816,0.636734693877551,0.5428571428571428,0.09387755102040818
AAPL,3,logreg,price_plus_alt_current,0.44285714285714284,0.4464285714285714,-0.0035714285714285587,0.46938775510204084,0.45306122448979586,0.016326530612244983
AAPL,3,logreg,price_plus_alt_stationary,0.5428571428571428,0.4464285714285714,0.09642857142857142,0.5530612244897959,0.45306122448979586,0.10000000000000003
AAPL,3,random_forest,price_plus_alt_current,0.5357142857142857,0.5071428571428571,0.02857142857142858,0.5244897959183674,0.503061224489796,0.021428571428571463
AAPL,3,random_forest,price_plus_alt_stationary,0.5142857142857142,0.5071428571428571,0.0071428571428571175,0.5020408163265305,0.503061224489796,-0.0010204081632654294
AAPL,4,hist_gradient_boosting,price_plus_alt_current,0.5354969574036511,0.4934077079107505,0.042089249492900604,0.5436105476673427,0.5101419878296146,0.03346855983772812
AAPL,4,hist_gradient_boosting,price_plus_alt_stationary,0.5400608519269777,0.4934077079107505,0.04665314401622722,0.5162271805273834,0.5101419878296146,0.006085192697768749
AAPL,4,logreg,price_plus_alt_current,0.513184584178499,0.5796146044624747,-0.06643002028397571,0.5720081135902637,0.6014198782961461,-0.02941176470588236
AAPL,4,logreg,price_plus_alt_stationary,0.5522312373225152,0.5796146044624747,-0.02738336713995948,0.6014198782961461,0.6014198782961461,0.0
AAPL,4,random_forest,price_plus_alt_current,0.5476673427991887,0.48630831643002026,0.06135902636916846,0.5283975659229208,0.48884381338742394,0.03955375253549681
AAPL,4,random_forest,price_plus_alt_stationary,0.5157200811359026,0.48630831643002026,0.02941176470588236,0.5740365111561867,0.48884381338742394,0.08519269776876276
TSLA,1,hist_gradient_boosting,price_plus_alt_current,0.5179347826086956,0.4483695652173913,0.06956521739130433,0.4902173913043479,0.44456521739130433,0.04565217391304355
TSLA,1,hist_gradient_boosting,price_plus_alt_stationary,0.458695652173913,0.4483695652173913,0.010326086956521707,0.5,0.44456521739130433,0.055434782608695665
TSLA,1,logreg,price_plus_alt_current,0.5206521739130435,0.46413043478260874,0.05652173913043479,0.55,0.5130434782608696,0.036956521739130443
TSLA,1,logreg,price_plus_alt_stationary,0.5826086956521739,0.46413043478260874,0.11847826086956514,0.6076086956521738,0.5130434782608696,0.09456521739130419
TSLA,1,random_forest,price_plus_alt_current,0.5054347826086957,0.4983695652173913,0.00706521739130439,0.475,0.5021739130434782,-0.02717391304347827
TSLA,1,random_forest,price_plus_alt_stationary,0.5146739130434783,0.4983695652173913,0.01630434782608703,0.5445652173913044,0.5021739130434782,0.04239130434782612
TSLA,2,hist_gradient_boosting,price_plus_alt_current,0.5226814516129032,0.4420362903225806,0.08064516129032262,0.41935483870967744,0.40120967741935487,0.018145161290322565
TSLA,2,hist_gradient_boosting,price_plus_alt_stationary,0.5372983870967742,0.4420362903225806,0.09526209677419362,0.534274193548387,0.40120967741935487,0.13306451612903214
TSLA,2,logreg,price_plus_alt_current,0.5090725806451613,0.5388104838709677,-0.029737903225806495,0.5060483870967741,0.49294354838709686,0.013104838709677269
TSLA,2,logreg,price_plus_alt_stationary,0.5241935483870968,0.5388104838709677,-0.014616935483870996,0.5574596774193549,0.49294354838709686,0.06451612903225801
TSLA,2,random_forest,price_plus_alt_current,0.5378024193548387,0.45816532258064513,0.07963709677419362,0.5090725806451613,0.4264112903225806,0.08266129032258063
TSLA,2,random_forest,price_plus_alt_stationary,0.6335685483870968,0.45816532258064513,0.17540322580645162,0.6108870967741935,0.4264112903225806,0.18447580645161288
TSLA,3,hist_gradient_boosting,price_plus_alt_current,0.5544871794871795,0.6698717948717949,-0.11538461538461542,0.5844017094017093,0.6474358974358975,-0.06303418803418814
TSLA,3,hist_gradient_boosting,price_plus_alt_stationary,0.6153846153846154,0.6698717948717949,-0.054487179487179516,0.7115384615384616,0.6474358974358975,0.0641025641025641
TSLA,3,logreg,price_plus_alt_current,0.592948717948718,0.5865384615384616,0.0064102564102563875,0.6752136752136753,0.561965811965812,0.11324786324786329
TSLA,3,logreg,price_plus_alt_stationary,0.5641025641025641,0.5865384615384616,-0.022435897435897467,0.5480769230769231,0.561965811965812,-0.01388888888888884
TSLA,3,random_forest,price_plus_alt_current,0.6506410256410257,0.5560897435897436,0.09455128205128205,0.701923076923077,0.5918803418803419,0.1100427350427351
TSLA,3,random_forest,price_plus_alt_stationary,0.6073717948717949,0.5560897435897436,0.05128205128205132,0.6143162393162394,0.5918803418803419,0.022435897435897467
TSLA,4,hist_gradient_boosting,price_plus_alt_current,0.44999999999999996,0.4106060606060606,0.03939393939393937,0.45353535353535357,0.3686868686868686,0.08484848484848495
TSLA,4,hist_gradient_boosting,price_plus_alt_stationary,0.4575757575757576,0.4106060606060606,0.046969696969696995,0.39595959595959596,0.3686868686868686,0.027272727272727337
TSLA,4,logreg,price_plus_alt_current,0.38484848484848483,0.42878787878787883,-0.043939393939394,0.42121212121212115,0.4181818181818182,0.003030303030302939
TSLA,4,logreg,price_plus_alt_stationary,0.4575757575757576,0.42878787878787883,0.02878787878787875,0.4131313131313131,0.4181818181818182,-0.005050505050505083
TSLA,4,random_forest,price_plus_alt_current,0.4621212121212121,0.47575757575757577,-0.013636363636363669,0.49595959595959593,0.44747474747474747,0.048484848484848464
TSLA,4,random_forest,price_plus_alt_stationary,0.42272727272727273,0.47575757575757577,-0.05303030303030304,0.45151515151515154,0.44747474747474747,0.004040404040404066
