ticker,model_name,feature_set_alt,auc_a,auc_b,auc_diff,auc_diff_se,z_stat,p_value
AAPL,hist_gradient_boosting,price_plus_alt_current,0.5527093596059116,0.529064039408867,0.023645320197044573,0.054556644414939834,0.4334086242036088,0.6647179362678424
AAPL,hist_gradient_boosting,price_plus_alt_stationary,0.5527093596059116,0.503694581280788,0.049014778325123576,0.06638828465075086,0.7383046358702569,0.46032935001877884
AAPL,logreg,price_plus_alt_current,0.4970443349753695,0.5298029556650248,-0.03275862068965529,0.03652316053688124,-0.8969273252399803,0.3697576980423265
AAPL,logreg,price_plus_alt_stationary,0.4970443349753695,0.5258620689655173,-0.028817733990147865,0.0494795958111335,-0.582416519733646,0.560286156883413
AAPL,random_forest,price_plus_alt_current,0.5381773399014778,0.49827586206896557,0.03990147783251219,0.053254984204667594,0.7492533971874689,0.45370449073711905
AAPL,random_forest,price_plus_alt_stationary,0.5381773399014778,0.5352216748768475,0.002955665024630294,0.06242042581134322,0.04735092697962951,0.9622335397118249
TSLA,hist_gradient_boosting,price_plus_alt_current,0.5698845492507982,0.5067550970277575,0.06312945222304078,0.05816268113402748,1.0853944658701016,0.2777469824252006
TSLA,hist_gradient_boosting,price_plus_alt_stationary,0.5698845492507982,0.5465487595185459,0.023335789732252366,0.06511083595375462,0.3584010155978761,0.7200432317305523
TSLA,logreg,price_plus_alt_current,0.6187668877425694,0.5588307541144681,0.05993613362810124,0.04345453096423209,1.379283869786452,0.16780724783870338
TSLA,logreg,price_plus_alt_stationary,0.6187668877425694,0.5455661999508721,0.0732006877916973,0.04915869556591915,1.4890689622457363,0.1364692099218181
TSLA,random_forest,price_plus_alt_current,0.6111520510930974,0.568656349791206,0.0424957013018914,0.04036789234486546,1.052710429834878,0.292473727021787
TSLA,random_forest,price_plus_alt_stationary,0.6111520510930974,0.568656349791206,0.0424957013018914,0.05112828546630495,0.8311583483451116,0.40588418115901637
