ticker,model_name,feature_set,split,decision_threshold,balanced_accuracy_ci_low,balanced_accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high
AAPL,hist_gradient_boosting,price_only,test,0.5,0.44710084033613445,0.6257981597148466,0.44367264406540946,0.6506047180801378
AAPL,hist_gradient_boosting,price_plus_alt_current,test,0.5,0.44550697865353034,0.6091439153002077,0.42940315709617183,0.6002684990501485
AAPL,hist_gradient_boosting,price_plus_alt_stationary,test,0.5,0.4519496229576875,0.6080818997410284,0.3929917309040197,0.5941812038580614
AAPL,logreg,price_only,test,0.5,0.42953463203463205,0.592217673338363,0.39605487060377675,0.6048702166021441
AAPL,logreg,price_plus_alt_current,test,0.5,0.4421532556418794,0.6160249255952381,0.41023446240358,0.637930508987519
AAPL,logreg,price_plus_alt_stationary,test,0.5,0.4191514603256655,0.6347586548987411,0.38983348686027414,0.6435231407612079
AAPL,random_forest,price_only,test,0.5,0.4050312748267796,0.5853982059376065,0.42911636636636635,0.635975455465587
AAPL,random_forest,price_plus_alt_current,test,0.5,0.4258169934640523,0.5655135376897397,0.40100806243208975,0.5811753770423125
AAPL,random_forest,price_plus_alt_stationary,test,0.5,0.4854015610961366,0.6268347901344798,0.41683401769798833,0.6264597302450917
TSLA,hist_gradient_boosting,price_only,test,0.5,0.4958430571333797,0.6695165977048434,0.4846700360150817,0.6786342422009335
TSLA,hist_gradient_boosting,price_plus_alt_current,test,0.5,0.4169184272455063,0.5723728880403849,0.4080729329112345,0.605481761941108
TSLA,hist_gradient_boosting,price_plus_alt_stationary,test,0.5,0.3992980295566502,0.5783214574635598,0.41489615084581716,0.6429399708483244
TSLA,logreg,price_only,test,0.5,0.5466193219975968,0.6764512208724938,0.5464190597392058,0.6986635944700461
TSLA,logreg,price_plus_alt_current,test,0.5,0.46105126689701154,0.6130758954663104,0.47309226664073695,0.627225592036127
TSLA,logreg,price_plus_alt_stationary,test,0.5,0.43768299549549555,0.5946384803921568,0.4401000330476508,0.6397093290441176
TSLA,random_forest,price_only,test,0.5,0.5368635606702648,0.6921267788724687,0.5051319247719855,0.6929503978233921
TSLA,random_forest,price_plus_alt_current,test,0.5,0.47919912224320094,0.6147087209728226,0.47123056891025644,0.6413200391485198
TSLA,random_forest,price_plus_alt_stationary,test,0.5,0.45829704101803803,0.6300954564904038,0.44846233523429513,0.6574045868347339
