ticker,fold,model_name,feature_set,n_train_rows,n_validation_rows,decision_threshold,threshold_tuned,validation_rows_inner,validation_balanced_accuracy_inner,accuracy,balanced_accuracy,f1,roc_auc
AAPL,1,hist_gradient_boosting,price_only,371,63,0.5,False,0,,0.5396825396825397,0.532051282051282,0.6027397260273972,0.5373931623931624
AAPL,1,hist_gradient_boosting,price_plus_alt_current,371,63,0.5,False,0,,0.5555555555555556,0.5448717948717949,0.6216216216216216,0.5801282051282052
AAPL,1,hist_gradient_boosting,price_plus_alt_stationary,371,63,0.5,False,0,,0.42857142857142855,0.3942307692307692,0.5384615384615384,0.4807692307692308
AAPL,1,logreg,price_only,371,63,0.5,False,0,,0.5079365079365079,0.5064102564102564,0.5633802816901409,0.5288461538461539
AAPL,1,logreg,price_plus_alt_current,371,63,0.5,False,0,,0.5238095238095238,0.5112179487179487,0.5945945945945946,0.5213675213675214
AAPL,1,logreg,price_plus_alt_stationary,371,63,0.5,False,0,,0.4603174603174603,0.4358974358974359,0.5526315789473685,0.4551282051282052
AAPL,1,random_forest,price_only,371,63,0.5,False,0,,0.5714285714285714,0.5817307692307692,0.6086956521739131,0.5641025641025641
AAPL,1,random_forest,price_plus_alt_current,371,63,0.5,False,0,,0.5079365079365079,0.4903846153846154,0.5866666666666667,0.5096153846153846
AAPL,1,random_forest,price_plus_alt_stationary,371,63,0.5,False,0,,0.4603174603174603,0.4118589743589744,0.5853658536585366,0.46047008547008544
AAPL,2,hist_gradient_boosting,price_only,434,63,0.5,False,0,,0.4444444444444444,0.4146739130434783,0.5454545454545454,0.4271739130434783
AAPL,2,hist_gradient_boosting,price_plus_alt_current,434,63,0.5,False,0,,0.49206349206349204,0.4706521739130435,0.5789473684210527,0.4793478260869566
AAPL,2,hist_gradient_boosting,price_plus_alt_stationary,434,63,0.5,False,0,,0.4603174603174603,0.408695652173913,0.5853658536585366,0.44999999999999996
AAPL,2,logreg,price_only,434,63,0.5,False,0,,0.4444444444444444,0.4608695652173913,0.47761194029850745,0.4326086956521739
AAPL,2,logreg,price_plus_alt_current,434,63,0.5,False,0,,0.4603174603174603,0.4548913043478261,0.5277777777777778,0.4141304347826087
